"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
0.05,55.2129213483,34.2050400241,-27.3760983724,6.84572000142,-1.44600830509,3.77862604015,2.02461405229,3.0,7.00618595679,6.912
0.05,55.4603851164,34.3646836266,-27.4114340615,6.95360689693,-1.45359823314,3.73404113819,2.04172137255,3.0,7.00359490741,6.914
0.05,55.674998643,34.5068531161,-27.4253190681,7.0658060014,-1.45778987983,3.69043548459,2.05885963508,3.0,7.00100385803,6.916
0.05,55.8896121696,34.6330256167,-27.4190286308,7.18206750032,-1.45859790008,3.6482036676,2.07602883987,3.0,6.99841157408,6.918
0.05,56.1042256962,34.746493168,-27.3951024426,7.30239139368,-1.45605193685,3.60734568721,2.09322898693,3.0,6.99580802469,6.92
0.05,56.3188392227,34.84725577,-27.3535405037,7.4267776815,-1.45004807327,3.56786154342,2.11046007625,3.0,6.99319320988,6.922
0.05,56.529588015,34.9353134227,-27.2943428139,7.55522636376,-1.44058630935,3.52975123623,2.12715303922,3.0,6.99056712963,6.924
0.05,56.722703957,35.0028743231,-27.1996173759,7.68773744047,-1.42766664508,3.49301476564,2.14200714753,3.0,6.98792978395,6.926
0.05,56.915819899,35.0447491304,-27.0574481194,7.82431091163,-1.41128908047,3.45765213165,2.15502240118,3.0,6.98546705247,6.928
0.05,57.108935841,35.0609378445,-26.8816474389,7.96494677724,-1.39151290141,3.42463646499,2.16619880019,3.0,6.98317893519,6.93
